amfi_code,scheme_name,fund_house,category,expense_ratio_pct,score_0_100,cagr_3yr_pct,sharpe_ratio,alpha_annual,max_drawdown_pct,sortino_ratio
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1.53,37.5,8.01,0.4484,17.5007,-23.34,0.746
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1.54,33.4,18.04,0.464,13.1732,-14.84,0.7621
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.59,32.9,17.27,0.4943,13.0429,-17.57,0.8626
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,28.5,7.39,0.4957,6.7462,-0.1,1.0521
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.56,21.7,7.76,0.076,7.8044,-24.0,0.1247
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,21.4,-1.34,-0.0572,4.8824,-52.57,-0.0944
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,18.6,6.7,-0.0887,6.4557,-0.12,-0.1877
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.53,17.0,-4.15,0.1627,10.8971,-35.45,0.2766
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,11.7,4.06,-0.3566,5.0748,-8.32,-0.6135
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,10.3,-11.71,-0.076,4.8016,-51.68,-0.1282
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,9.6,5.84,-0.2266,5.6209,-4.33,-0.3768
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,6.7,6.32,-0.8156,6.0861,-0.16,-1.681
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,5.9,3.92,-0.5671,4.2818,-4.31,-0.9418
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.51,2.7,-0.77,-0.2058,2.8969,-28.0,-0.3472
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.55,2.0,1.29,-0.2015,3.7476,-24.73,-0.351
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.64,0.0,0.53,0.0308,6.8995,-14.4,0.0526
